USER         PID    PPID    PGID     SID STAT     ELAPSED   RSS %CPU COMMAND
ubuntu     27597   27596   27597   27597 Ss         00:00  3400  0.0          \_ bash -c set -eu; qa=/home/ubuntu/qa/2026-08-01-compositor-p1/artifacts/qa/2026-08-01-utm-p1; session=$(cat "$qa/session-drm-accept.pid"); compositor=$(pgrep -P "$session" -f "slopos-compositor" | head -n 1); shell=$(pgrep -P "$session" -f "slopos-shell" | head -n 1); runtime=$(tr "\0" "\n" < "/proc/$session/environ" | sed -n "s/^XDG_RUNTIME_DIR=//p" | head -n 1); printf "session=%s\ncompositor=%s\nshell=%s\nruntime=%s\n" "$session" "$compositor" "$shell" "$runtime" > "$qa/process-ids.txt"; ps -eo user,pid,ppid,pgid,sid,stat,etime,rss,pcpu,args --forest > "$qa/process-tree.txt"; { echo "session"; tr "\0" "\n" < "/proc/$session/environ" | grep -E "^(DISPLAY|WAYLAND_DISPLAY|SLOPOS_|XDG_RUNTIME_DIR|XDG_SESSION_TYPE|XDG_CURRENT_DESKTOP|DESKTOP_SESSION)=" || true; echo "compositor"; tr "\0" "\n" < "/proc/$compositor/environ" | grep -E "^(DISPLAY|WAYLAND_DISPLAY|SLOPOS_|XDG_RUNTIME_DIR|XDG_SESSION_TYPE|XDG_CURRENT_DESKTOP|DESKTOP_SESSION)=" || true; echo "shell"; tr "\0" "\n" < "/proc/$shell/environ" | grep -E "^(DISPLAY|WAYLAND_DISPLAY|SLOPOS_|XDG_RUNTIME_DIR|XDG_SESSION_TYPE|XDG_CURRENT_DESKTOP|DESKTOP_SESSION)=" || true; } > "$qa/process-environments.txt"; find "$runtime" -maxdepth 3 -printf "%M %u %g %p\n" | sort > "$qa/runtime-files.txt"; find "$runtime" -type s -printf "%M %u %g %p\n" 2>/dev/null > "$qa/private-sockets.txt"; session_dir=$(find "$runtime/slopos-i" -mindepth 1 -maxdepth 1 -type d | head -n 1); { printf "session_dir=%s\n" "$session_dir"; printf "client-display="; cat "$session_dir/client-wayland-display"; printf "readiness:\n"; cat "$session_dir/readiness"; printf "token-file-mode="; stat -c "%a %U %G" "$session_dir/token"; printf "socket-stat:\n"; stat -c "%a %U %G %F %n" "$runtime"/* "$session_dir"/* 2>/dev/null || true; printf "socket-inodes:\n"; stat -c "%i %n" "$runtime"/* 2>/dev/null || true; } > "$qa/readiness-and-sockets.txt"; grep -E "client connected|toplevel mapped|workspace active|foreign-toplevel|popup|focus|activated|serial|grab|screenshot" "$qa/session-drm-accept.log" > "$qa/interaction-log-filtered.txt" || true; cat "$qa/process-ids.txt"; cat "$qa/process-environments.txt"; cat "$qa/private-sockets.txt"; cat "$qa/readiness-and-sockets.txt"
ubuntu     27609   27597   27597   27597 R          00:00  5020  0.0              \_ ps -eo user,pid,ppid,pgid,sid,stat,etime,rss,pcpu,args --forest
ubuntu      2193       1    2193    2193 Ss         50:12  7056  0.0 /usr/lib/systemd/systemd --user
ubuntu      2198    2193    2193    2193 S          50:12   836  0.0  \_ (sd-pam)
ubuntu     18674    2193   18674   18674 Ss         15:14  4416  0.0  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       15033       1   15033   15033 Ssl        28:36  9980  0.4 /usr/libexec/fwupd/fwupd
ubuntu     21677       1   21638   21638 S          13:42 18908  0.0 Xvfb :99 -screen 0 1280x800x24 -nolisten tcp
ubuntu     27344       1   27341   27341 S          01:28  2012  0.0 /home/ubuntu/qa/2026-08-01-compositor-p1/target/debug/slopos-session --backend drm
ubuntu     27346   27344   27346   27341 Sl         01:28 102408 2.5  \_ /home/ubuntu/qa/2026-08-01-compositor-p1/target/debug/slopos-compositor --backend drm
ubuntu     27348   27344   27348   27341 Sl         01:28 489696 84.1  \_ /home/ubuntu/qa/2026-08-01-compositor-p1/target/debug/slopos-shell
