sample,epoch,pid,comm,cpu_pct,rss_kb,elapsed_s
24,1785589186, 273987 slopos-shell     4.5 668608    468
24,1785589186, 273998 finder           0.3 307332    467
24,1785589186, 274965 textedit         0.3 223612    195
24,1785589186, 274979 appstore         0.3 224352    195
24,1785589186, 274982 settings         0.2 189128    195
24,1785589186, 274984 terminal         0.4 219692    195
25,1785589188, 273979 slopos-session   0.1  1888     470
25,1785589188, 273985 slopos-composit  0.5 100988    470
25,1785589188, 273987 slopos-shell     4.4 668608    470
25,1785589188, 273998 finder           0.3 307332    469
25,1785589188, 274965 textedit         0.3 223612    197
25,1785589188, 274979 appstore         0.3 224352    197
25,1785589188, 274982 settings         0.2 189128    197
25,1785589188, 274984 terminal         0.4 219692    197
26,1785589190, 273979 slopos-session   0.1  1888     472
26,1785589190, 273985 slopos-composit  0.5 100988    472
26,1785589190, 273987 slopos-shell     4.4 668608    472
26,1785589190, 273998 finder           0.3 307332    471
26,1785589190, 274965 textedit         0.3 223612    199
26,1785589190, 274979 appstore         0.3 224352    199
26,1785589190, 274982 settings         0.2 189128    199
26,1785589190, 274984 terminal         0.4 219692    199
27,1785589192, 273979 slopos-session   0.1  1888     474
27,1785589192, 273985 slopos-composit  0.5 100988    474
27,1785589192, 273987 slopos-shell     4.4 668608    474
27,1785589192, 273998 finder           0.3 307332    473
27,1785589192, 274965 textedit         0.3 223612    201
27,1785589192, 274979 appstore         0.3 224352    201
27,1785589192, 274982 settings         0.2 189128    201
27,1785589192, 274984 terminal         0.3 219692    201
28,1785589194, 273979 slopos-session   0.1  1888     476
28,1785589194, 273985 slopos-composit  0.5 103388    476
28,1785589194, 273987 slopos-shell     4.5 861864    476
28,1785589194, 273998 finder           0.3 307332    475
28,1785589194, 274965 textedit         0.3 223612    203
28,1785589194, 274979 appstore         0.4 225752    203
28,1785589194, 274982 settings         0.2 189128    203
28,1785589194, 274984 terminal         0.3 219692    203
29,1785589196, 273979 slopos-session   0.1  1888     478
29,1785589196, 273985 slopos-composit  0.5 103388    478
29,1785589196, 273987 slopos-shell     4.6 659704    478
29,1785589196, 273998 finder           0.3 307332    477
29,1785589196, 274965 textedit         0.3 223612    205
